hole_shot,par,distance,club,total_score
1st-1st,4,317 yds,Driver,E
1st-2nd,4,161 yds,6 Iron,E
1st-3rd,4,120 yds,PW,E
1st-4th,4,20 ft,,E
1st-5th,4,6 ft,,E
2nd-1st,4,373 yds,Driver,+2
2nd-2nd,4,120 yds,PW,+2
2nd-3rd,4,30 yds,LW,+2
2nd-4th,4,6 ft,For Par,+2
3rd-2nd,4,179 yds,6 Iron,+3
3rd-3rd,4,20 yds,LW,+3
3rd-4th,4,12 ft,For Par,+3
4th-1st,4,252 yds,Driver,+4
4th-2nd,4,30 yds,PW,+4
4th-3rd,4,5 yds,LW,+4
4th-4th,4,3 ft,For Par,+4
5th-1st,4,304 yds,Driver,+4
5th-2nd,4,50 yds,PW,+4
5th-3rd,4,25 yds,LW,+4
5th-4th,4,5 yds,LW,+4
5th-5th,4,2 ft,For Bogey,+4
6th-1st,4,402 yds,Driver,+5
6th-2nd,4,155 yds,7 Iron,+5
6th-3rd,4,76 yds,GW,+5
6th-4th,4,20 ft ,For Par,+5
7th-1st,3,170 yds,6 Iron,+6
7th-2nd,3,40 yds,LW,+6
7th-3rd,3,30 ft,For Par,+6
8th-1st,5,505 yds,Driver,+6
8th-2nd,5,260 yds,4 Wood,+6
8th-4th,5,30 ft,For Birdie,+6
9th-1st,3,165 yds,7 Iron,+6
9th-2nd,3,20 yds,SW,+6
9th-3rd,3,10 yds,LW,+6
9th-4th,3,8 ft,For Bogey,+6
10th-1st,3,64 yds,SW,+8
10th-2nd,3,20 ft,For Birdie,+8
11th-1st,3,85 yds,LW,+8
11th-2nd,3,10 ft,For Birdie,+8
12th-1st,4,340 yds,5 Hybrid,+8
12th-2nd,4,170 yds,5 Hybrid,+8
12th-3rd,4,30 yds,LW,+8
12th-4th,4,15 ft,For Par,+8
13th-2nd,3,70 ft,For birdie,+9
13th-3rd,3,8 ft,For Par,+9
14th-1st,4,319 yds,Driver,+9
14th-2nd,4,40 yds,LW,+9
14th-3rd,4,15 yds,LW,+9
14th-4th,4,8 ft,For Par,+9
15th-1st,4,281 yds,4 Hybrid,+10
15th-2nd,4,136 yds,7 Iron,+10
15th-3rd,4,40 ft,For birdie,+10
16th-1st,3,220 yds,4 Hybrid,+11
16th-2nd,3,30 yds,LW,+11
16th-3rd,3,30 ft,For Par,+11
17th-1st,4,365 yds,Driver,+12
17th-2nd,4,135 yds,9 iron,+12
17th-3rd,4,20 yds,LW,+12
17th-4th,4,10 ft,For Par,+12
18th-1st,5,494 yds,Driver,+13
18th-2nd,5,350 yds,4 Wood,+13
18th-3rd,5,160 yds,7 Iron,+13
18th-4th,5,20 yds,SW,+13
18th-5th,5,15 ft,For Par,+13
